Wildlife,Name,Habitat,Priority Order,Habitat Notes,Degrees outside Ideal,Status,Class,Region
Plant,"Alula, Cabbage on a Stick",Island,1,Below,-19,Endangered,Magnoliopsida,Pacific Islands
Animal,Galápagos Tortoise,Island,1,Below,-19,Endangered,Reptiles,South America
Animal,Lord Howe Island Stick Insect,Island,1,Below,-19,Endangered,Insects,Australia and New Zealand
Animal,Coquerel's Sifaka,Tropical Rainforest,2,Below,-18,Endangered,Mammals,Africa
Animal,Orangutan,Tropical Rainforest,2,Below,-18,Endangered,Mammals,Asia
Animal,Chimpanzee,Tropical Rainforest,2,Below,-18,Endangered,Mammals,Africa
Animal,Siamang,Tropical Rainforest,2,Below,-18,Endangered,Mammals,Asia
Animal,Bonobo,Tropical Rainforest,2,Below,-18,Endangered,Mammals,Africa
Animal,Panamanian Golden Frog,Tropical Rainforest,2,Below,-18,Endangered,Amphibians,South America
Animal,Rodrigues Flying Fox,Tropical Rainforest,2,Below,-18,Endangered,Mammals,Africa
Animal,Okapi,Tropical Rainforest,2,Below,-18,Endangered,Mammals,Africa
Animal,Thick-billed Parrot,Temperate Forest and Taiga,3,Above,13,Endangered,Birds,Central America
Animal,Nile Lechwe,Wetlands,4,Above,7,Endangered,Mammals,Africa
Plant,Venus Flytrap,Wetlands,4,Above,7,Endangered,Magnoliopsida,North America
Animal,Chinchilla,Mountains,5,Above,2,Endangered,Mammals,South America
Animal,Axolotl,Rivers and Lakes,5,Above,2,Endangered,Amphibians,North America
Animal,Chinese Giant Salamander,Rivers and Lakes,5,Above,2,Endangered,Amphibians,Asia
Animal,Kiwi,Island,6,Below,-19,Some Endangered,Birds,Australia and New Zealand
Animal,Toucan,Tropical Rainforest,7,Below,-18,Some Endangered,Birds,"Central America, South America"
Plant,Epiphyllum,Tropical Rainforest,7,Below,-18,Some Endangered,Magnoliopsida,"Central America, South America"
Animal,Agouti,Tropical Rainforest,7,Below,-18,Some Endangered,Mammals,"Central America, South America"
Plant,Tropical Pitcher Plant,Tropical Rainforest,7,Below,-18,Some Endangered,Magnoliopsida,"Africa, Asia, Australia and New Zealand"
Animal,Mantella,Tropical Rainforest,7,Below,-18,Some Endangered,Amphibians,Africa
Plant,Ginger,Tropical Rainforest,7,Below,-18,Some Endangered,Liliopsida,"Africa, Asia, Caribbean, Central America, South America"
Animal,Kangaroo and Wallaby,"Island, Tropical Rainforest",7,Below,-18,Some Endangered,Mammals,"Australia and New Zealand, Pacific Islands"
Animal,Binturong,Tropical Rainforest,7,Below,-18,Some Endangered,Mammals,Asia
Animal,Pygmy Slow Loris,Tropical Rainforest,7,Below,-18,Some Endangered,Mammals,Asia
Plant,Orchid Tree,"Island, Tropical Rainforest",7,Below,-18,Some Endangered,Magnoliopsida,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, South America"
Animal,Poison Frog,Tropical Rainforest,7,Below,-18,Some Endangered,Amphibians,"Central America, South America"
Animal,Peafowl,Temperate Forest and Taiga,8,Above,13,Some Endangered,Birds,Asia
Plant,Maple,Temperate Forest and Taiga,8,Above,13,Some Endangered,Magnoliopsida,"Africa, Asia, Europe, North America"
Animal,Crocodilian,Wetlands,9,Above,7,Some Endangered,Reptiles,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Middle East, North America, Pacific Islands, South America"
Plant,American Pitcher Plant,Wetlands,9,Above,7,Some Endangered,Magnoliopsida,North America
Plant,Sundew,Wetlands,9,Above,7,Some Endangered,Magnoliopsida,"Africa, Asia, Australia and New Zealand, Europe, North America, South America"
Animal,Crane,"Rivers and Lakes, Wetlands",10,Above,2,Some Endangered,Birds,"Africa, Asia, Australia and New Zealand, Europe, North America"
Animal,Cichlid,Rivers and Lakes,10,Above,2,Some Endangered,Ray-finned fishes,"Africa, Asia, Central America, South America"
Plant,Howea Palm (Kentia Palm),Island,11,Below,-19,Threatened,Liliopsida,Australia and New Zealand
Animal,Mandrill,Tropical Rainforest,12,Below,-18,Threatened,Mammals,Africa
Animal,Harpy Eagle,Tropical Rainforest,12,Below,-18,Threatened,Birds,"Central America, North America, South America"
Animal,Tree Pangolin,Tropical Rainforest,12,Below,-18,Threatened,Mammals,Africa
Animal,Sun Bear,Tropical Rainforest,12,Below,-18,Threatened,Mammals,Asia
Animal,Giant Panda,Temperate Forest and Taiga,13,Above,13,Threatened,Mammals,Asia
Animal,Koala,Temperate Forest and Taiga,13,Above,13,Threatened,Mammals,Australia and New Zealand
Animal,Takin,Temperate Forest and Taiga,13,Above,13,Threatened,Mammals,Asia
Animal,Shoebill,"Rivers and Lakes, Wetlands",14,Above,2,Threatened,Birds,Africa
Animal,Snow Leopard,Mountains,14,Above,2,Threatened,Mammals,Asia
Animal,Hippo,Rivers and Lakes,14,Above,2,Threatened,Mammals,Africa
Animal,Bowerbird,Tropical Rainforest,15,Below,-18,Some Threatened,Birds,Australia and New Zealand
Plant,Wood Fern,"Temperate Forest and Taiga, Wetlands",16,Above,7,Some Threatened,Pteridopsida,"Africa, Asia, Europe, North America"
Animal,Jacana,Wetlands,16,Above,7,Some Threatened,Birds,"Asia, Australia and New Zealand, Central America, North America, Pacific Islands, South America"
Animal,Capybara,"Rivers and Lakes, Wetlands",17,Above,2,Some Threatened,Mammals,"Central America, South America"
Animal,Platypus,"Rivers and Lakes, Wetlands",17,Above,2,Some Threatened,Mammals,Australia and New Zealand
Animal,Gelada,Mountains,17,Above,2,Some Threatened,Mammals,Africa
Animal,Flamingo,Rivers and Lakes,17,Above,2,Some Threatened,Birds,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Europe, Middle East, North America, Pacific Islands, South America"
Animal,Surinam Toad,Tropical Rainforest,18,Below,-18,Stable,Amphibians,South America
Plant,Australian Flame Tree,Tropical Rainforest,18,Below,-18,Stable,Magnoliopsida,Australia and New Zealand
Plant,Fishtail Palm,"Island, Tropical Rainforest",18,Below,-18,Stable,Liliopsida,"Asia, Australia and New Zealand, Pacific Islands"
Plant,Queensland Umbrella Tree,Tropical Rainforest,18,Below,-18,Stable,Magnoliopsida,"Australia and New Zealand, Pacific Islands"
Plant,African Tulip Tree,Tropical Rainforest,18,Below,-18,Stable,Magnoliopsida,Africa
Animal,Two-toed Sloth,Tropical Rainforest,18,Below,-18,Stable,Mammals,"Central America, South America"
Animal,Giant African Millipede,Tropical Rainforest,18,Below,-18,Stable,Millipedes,Africa
Plant,Cape Chestnut,Temperate Forest and Taiga,19,Above,13,Stable,Magnoliopsida,Africa
Animal,Laughing Kookaburra,Temperate Forest and Taiga,19,Above,13,Stable,Birds,Australia and New Zealand
Plant,Pink Trumpet Tree,Temperate Forest and Taiga,19,Above,13,Stable,Asterids,"Central America, North America, South America"
Animal,Magpie Goose,Wetlands,20,Above,7,Stable,Birds,Australia and New Zealand
Plant,Western Sword Fern,"Mountains, Temperate Forest and Taiga",21,Above,2,Stable,Pteridopsida,North America
Animal,Banded Archer Fish,Rivers and Lakes,21,Above,2,Stable,Ray-finned fishes,Australia and New Zealand
Plant,Calla Lily,"Rivers and Lakes, Wetlands",21,Above,2,Stable,Liliopsida,Africa
Animal,Dragonfly and Damselfly,Rivers and Lakes,21,Above,2,Stable,Insects,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Europe, Middle East, North America, Pacific Islands, South America"
Animal,West African Lungfish,Rivers and Lakes,21,Above,2,Stable,Sarcopterygii,Africa
Plant,Papyrus,"Rivers and Lakes, Wetlands",21,Above,2,Stable,Liliopsida,Africa
Plant,Pentas,Mountains,21,Above,2,Stable,Magnoliopsida,"Africa, Middle East"
Animal,African Pygmy Goose,Rivers and Lakes,21,Above,2,Stable,Birds,Africa
Plant,Horsetail Reed,"Rivers and Lakes, Wetlands",21,Above,2,Stable,Polypodiospida,"Asia, Europe, North America"
Animal,Pumpkinseed Sunfish,Rivers and Lakes,21,Above,2,Stable,Ray-finned fishes,"Europe, North America"
Animal,Koi,Rivers and Lakes,21,Above,2,Stable,Ray-finned fishes,Asia
Plant,Cacao,Tropical Rainforest,,Below,-18,,Magnoliopsida,"Central America, North America, South America"
Plant,Bonsai,Temperate Forest and Taiga,,Above,13,,,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Europe, Middle East, North America, Pacific Islands, South America"
Plant,Japanese Wisteria,Temperate Forest and Taiga,,Above,13,,Magnoliopsida,Asia
Plant,Cattail,"Rivers and Lakes, Wetlands",,Above,2,,Liliopsida,"Africa, Asia, Caribbean, Central America, Europe, Middle East, North America"
